fechaInscripcion,identificadorUnico,nombres,apellidos,fechNacimiento,sexo,municipio,direccion,correoElectronico,numeroTelefono
2023-04-22,nGe67I,aGqCT,SsNEp3vO,1989-06-09,Otro,BCfsA4v,TplRYv4z0y,agqctssnep3vo@example.com,555-952-7344
2023-12-16,OHqWsi,6TluH,LVBWut95,1962-07-27,Otro,h7J5RIu,6bZUuIY3Vn,6tluhlvbwut95@example.com,555-513-0346
2022-02-24,B4ujQz,Lh0Yk,Xz9W89QG,1975-03-03,Otro,Tnqz3EW,1MCyaCm7J6,lh0ykxz9w89qg@example.com,555-235-0013
2023-01-08,9Qd2je,QUO3Y,6eNArxaM,1953-06-12,Femenino,5H0Q6Lp,SszZWk70es,quo3y6enarxam@example.com,555-054-6910
2023-08-12,EGFPdw,bMXgE,j7Ih2cZ7,1983-10-04,Otro,3r5EyfA,EvM3E7nTfQ,bmxgej7ih2cz7@example.com,555-204-8709
2023-06-17,mnD0ni,aJ9Dn,5kBflHwO,1957-09-10,Otro,uhtQTI1,way3KVqQPT,aj9dn5kbflhwo@example.com,555-288-7981
2022-09-27,E7KeaT,PwmVV,TFLihnSg,1952-09-04,Masculino,KJM62rA,4J2W7CSyCd,pwmvvtflihnsg@example.com,555-729-2537
2022-08-16,WWjhlo,z5ff1,o6hL9SJF,2001-04-15,Femenino,Rfi08tU,YvIX1yjgyQ,z5ff1o6hl9sjf@example.com,555-180-6911
2022-01-11,KyDeJO,Jq3Wh,xeRIJoh8,1955-05-23,Masculino,ryKMwa4,futplgeAJn,jq3whxerijoh8@example.com,555-657-1940
2022-04-08,bDXeiM,In4tr,XACGPzdu,1967-07-18,Femenino,QuVdFgl,k9rCVFjKDZ,in4trxacgpzdu@example.com,555-268-9039
2023-07-08,zKMLcr,llBGZ,znup5QSv,1962-03-09,Femenino,cT8ieaf,2cgXhOdnj3,llbgzznup5qsv@example.com,555-915-3900
2023-04-08,oUCucJ,AuAuJ,gxIiTVog,1954-01-13,Femenino,QhQLuRH,6zjSGxITiS,auaujgxiitvog@example.com,555-344-1301
2023-10-18,GTigyF,Gm83P,gebsSOuZ,2001-02-14,Masculino,TL0UYy5,Ny6i0NfMRz,gm83pgebssouz@example.com,555-277-2714
2021-01-22,15404s,I8NlP,nmXjdxr3,1999-02-19,Femenino,Zt63iIL,sfcWBeKok9,i8nlpnmxjdxr3@example.com,555-132-8446
2023-06-16,4jkTrf,0tl6X,cALgEjy1,1954-11-05,Masculino,7gJuSQV,jxtgrh0O1K,0tl6xcalgejy1@example.com,555-120-7051
2021-09-14,wnXy5n,mVVhH,rWkGJhPM,1959-06-28,Masculino,m0tZjwd,OiFViC8WoR,mvvhhrwkgjhpm@example.com,555-840-1068
2022-03-26,AM0EJy,JwBxS,irF5ufvs,1978-08-28,Femenino,IwFk23e,ZIAaohy2G9,jwbxsirf5ufvs@example.com,555-667-6517
